,STNAME,CTNAME,TOT_POP,H_MALE,H_FEMALE,CUM_CASES,CASE_RATE
0,New Jersey,Atlantic,265429,25496,25523,2638,9.94
1,New Jersey,Bergen,936692,94558,98202,18996,20.28
2,New Jersey,Burlington,445384,19431,17670,4994,11.21
3,New Jersey,Camden,507078,43188,44245,7117,14.04
4,New Jersey,Cape May,92560,3803,3497,705,7.62
5,New Jersey,Cumberland,150972,24771,22655,2792,18.49
6,New Jersey,Essex,799767,94892,93425,18515,23.15
7,New Jersey,Gloucester,291408,9396,9243,2457,8.43
8,New Jersey,Hudson,676061,142682,147376,18775,27.77
9,New Jersey,Hunterdon,124714,4350,4155,1053,8.44
10,New Jersey,Mercer,369811,35172,31911,7489,20.25
11,New Jersey,Middlesex,829685,89125,90020,16592,20.0
12,New Jersey,Monmouth,621354,34788,33889,8925,14.36
13,New Jersey,Morris,494228,34185,33580,6689,13.53
14,New Jersey,Ocean,601651,28920,27942,9413,15.65
15,New Jersey,Passaic,503310,105558,107265,16735,33.25
16,New Jersey,Salem,62607,3238,2700,748,11.95
17,New Jersey,Somerset,331164,25240,24383,4806,14.51
18,New Jersey,Sussex,140799,6082,6086,1176,8.35
19,New Jersey,Union,558067,90956,89484,16298,29.2
20,New Jersey,Warren,105779,5196,5081,1211,11.45
